Transaction_ID,Transaction_Date,Credit_Card_ID,Transaction_Value,Transaction_Segment
CTID62524374,2016-03-28,4954-2506-4917-1734,5174,SEG21
CTID56263315,2016-04-08,5144-5591-4640-2208,20261,SEG18
CTID95615880,2016-05-27,7447-6644-5678-8061,19354,SEG11
CTID52952271,2016-10-11,7908-3850-6633-2606,4312,SEG25
CTID48273304,2016-04-19,2830-1922-3225-5423,3511,SEG16
CTID90137703,2016-09-14,6574-5513-6101-1905,32197,SEG20
CTID25131128,2016-01-23,6071-3874-2856-8755,46448,SEG14
CTID98139962,2016-10-09,8638-5407-3631-8196,16565,SEG21
CTID65581755,2016-03-16,5984-2442-3351-3695,23953,SEG14
CTID69243546,2016-10-13,5778-9566-9086-7555,47862,SEG24
CTID12529578,2016-09-08,4220-2591-3295-3300,5643,SEG20
CTID80619477,2016-05-24,3623-4506-7311-5151,35749,SEG21
CTID52372851,2016-06-07,1123-9777-7335-9167,37371,SEG15
CTID80104840,2016-02-16,4819-6940-5506-8061,37358,SEG16
CTID70453106,2016-05-11,6016-6956-6981-3103,20821,SEG12
CTID98686312,2016-06-28,4703-4800-3443-6825,34976,SEG11
CTID99717989,2016-09-01,8797-7761-7623-1806,20632,SEG19
CTID47288456,2016-11-25,5316-4617-7300-3260,48115,SEG11
CTID69511840,2016-01-05,8614-1547-9524-8444,12089,SEG16
CTID49816282,2016-11-08,8408-7680-2338-9105,47125,SEG20
CTID82291996,2016-06-23,8272-7202-4112-6502,24106,SEG15
CTID88119807,2016-12-28,5811-4353-3490-5513,22001,SEG17
CTID86518269,2016-06-26,4562-2665-7578-1931,104,SEG20
CTID27784423,2016-10-26,7697-2274-6431-6408,6190,SEG17
CTID86027421,2016-04-08,2463-9055-1240-3878,29050,SEG13
CTID88595832,2016-12-25,7815-5255-1963-9464,30558,SEG17
CTID30001535,2016-05-03,8783-7271-8493-7931,1044,SEG20
CTID31619790,2016-10-19,7729-4037-1361-9467,35465,SEG11
CTID88910233,2016-04-04,3430-7717-8611-4878,33259,SEG13
CTID53696598,2016-09-26,5734-5619-8469-4044,14204,SEG19
CTID84940002,2016-07-18,3380-5311-6073-9478,8922,SEG17
CTID27781496,2016-06-27,4314-6417-5269-5130,33703,SEG13
CTID54192328,2016-12-31,1290-5480-3763-3387,4871,SEG19
CTID39468394,2016-01-22,3573-2839-9869-7747,8006,SEG22
CTID86592981,2016-09-09,5129-6974-6371-2964,14973,SEG24
CTID79836137,2016-04-10,8217-2336-2393-6960,3804,SEG24
CTID66419140,2016-12-28,8706-3809-5167-3899,14252,SEG17
CTID12901050,2016-10-31,1846-7945-5251-4091,39162,SEG18
CTID58837281,2016-11-26,3467-4873-4196-4795,19780,SEG20
CTID67124317,2016-02-12,2830-1922-3225-5423,34268,SEG17
CTID70640061,2016-06-13,7299-3529-7767-1695,39085,SEG11
CTID64100359,2016-07-16,2834-5946-1542-4074,29209,SEG24
CTID92575218,2016-07-19,4491-2026-2441-2049,12388,SEG25
CTID31075863,2016-11-18,2570-5181-2062-7588,2642,SEG14
CTID62479041,2016-12-17,5563-4162-6828-9835,43274,SEG21
CTID13502182,2016-04-08,5747-7372-2770-2325,40100,SEG15
CTID45502523,2016-06-30,7306-7457-8875-3211,39946,SEG14
CTID40226121,2016-06-21,4971-8219-1133-6753,26877,SEG21
CTID86382458,2016-01-12,6012-7799-2842-7221,4889,SEG21
CTID33907722,2016-02-17,4784-5120-3581-6184,47415,SEG13
CTID20566689,2016-08-15,6239-8641-8524-9441,36155,SEG17
CTID23411530,2016-12-20,2711-5438-4449-9824,6864,SEG11
CTID76545353,2016-03-16,6893-1438-6516-3207,29261,SEG21
CTID57750043,2016-04-21,7767-7920-7733-4210,26581,SEG11
CTID74822610,2016-03-31,3513-5475-4629-7570,4153,SEG11
CTID82952490,2016-09-12,8481-9097-2828-9363,25241,SEG11
CTID89750423,2016-04-21,9322-7578-8781-2684,33300,SEG19
CTID51415633,2016-07-17,1481-2536-2178-7547,16397,SEG25
CTID51419213,2016-11-01,2495-1344-4998-6045,29972,SEG12
CTID70245911,2016-10-17,5160-8427-6529-3274,19739,SEG20
CTID56719346,2016-08-28,1608-1970-3705-7137,40627,SEG12
CTID74639855,2016-04-11,5262-2954-4306-9001,20999,SEG24
CTID11153818,2016-10-04,8231-5519-1948-3400,21676,SEG12
CTID52358047,2016-02-21,9304-8255-4381-2028,1768,SEG11
CTID76458924,2016-01-06,4138-5166-7490-1188,29697,SEG16
CTID24321450,2016-10-26,5750-8229-8026-8893,9063,SEG22
CTID84362279,2016-08-29,3226-1711-7076-2949,49700,SEG14
CTID19925401,2016-11-09,5160-8427-6529-3274,38498,SEG17
CTID15837641,2016-12-23,6239-8641-8524-9441,23418,SEG15
CTID21730577,2016-09-17,7708-8807-7837-8812,1739,SEG24
CTID82900291,2016-07-06,8590-6850-6104-5846,29016,SEG25
CTID14074558,2016-08-14,6531-1690-4324-2760,37088,SEG24
CTID59106840,2016-10-03,9999-3058-2698-4238,31603,SEG12
CTID82835036,2016-03-13,1175-3754-1370-5515,46208,SEG25
CTID26960787,2016-03-16,1629-9566-3285-2123,3196,SEG25
CTID59126920,2016-11-14,5618-9718-9367-2102,16709,SEG17
CTID21880498,2016-03-28,1608-1970-3705-7137,903,SEG20
CTID97028220,2016-03-03,8138-6235-7062-6142,44159,SEG22
CTID52154805,2016-11-10,2570-5181-2062-7588,12921,SEG19
CTID75506536,2016-08-28,5384-8278-5616-5502,5164,SEG16
CTID93232772,2016-09-04,8088-9431-7201-2877,1666,SEG17
CTID59028890,2016-06-19,7214-4915-6387-5429,15179,SEG21
CTID15485025,2016-07-27,4341-6411-1439-6094,22450,SEG13
CTID15738394,2016-01-15,4334-6855-2003-9239,27092,SEG11
CTID18281825,2016-02-02,3914-1379-8974-9157,5391,SEG11
CTID97442946,2016-10-28,8725-3610-8060-2617,43808,SEG24
CTID74675789,2016-07-21,1782-8675-4061-3666,18178,SEG19
CTID77085181,2016-09-21,2764-7023-8396-5255,20990,SEG12
CTID70094106,2016-11-01,3810-4783-2207-7703,23130,SEG18
CTID69395314,2016-10-25,1481-2536-2178-7547,41147,SEG21
CTID61424889,2016-05-09,6045-2636-8278-8875,35435,SEG19
CTID24226018,2016-02-14,4770-7274-9917-1594,26860,SEG13
CTID69904424,2016-03-24,6429-7684-3108-1910,6126,SEG15
CTID98471543,2016-03-09,4843-3880-6792-2259,39476,SEG19
CTID17845079,2016-12-16,3810-4783-2207-7703,21704,SEG16
CTID61841254,2016-03-09,5129-6974-6371-2964,46021,SEG11
CTID22201030,2016-09-01,8706-3809-5167-3899,22596,SEG11
CTID19149771,2016-09-01,8691-3939-1859-5937,4062,SEG17
CTID45648244,2016-10-07,1175-3754-1370-5515,13019,SEG16
CTID76901591,2016-07-08,5380-2273-3524-9795,476,SEG20
CTID45524381,2016-12-06,5591-5619-8809-5454,13077,SEG20
CTID23908979,2016-06-09,6071-3874-2856-8755,22470,SEG18
CTID45634816,2016-05-22,6835-6133-8935-6988,45985,SEG25
CTID65759560,2016-07-22,4310-3710-6743-6385,8472,SEG23
CTID58349635,2016-11-25,6765-2732-8888-1318,47995,SEG14
CTID86958427,2016-03-27,1683-2865-3396-4925,22945,SEG16
CTID64037638,2016-10-04,6691-5105-1556-4131,20206,SEG16
CTID11644316,2016-04-07,7447-6644-5678-8061,30287,SEG21
CTID55339194,2016-06-08,7558-5459-8235-5737,31820,SEG22
CTID64029706,2016-04-07,7697-2274-6431-6408,34570,SEG16
CTID43384175,2016-10-22,5960-5753-3689-8262,32199,SEG22
CTID28683855,2016-07-24,7416-4529-6690-5703,48722,SEG22
CTID67085499,2016-10-04,6001-5945-4665-4926,2745,SEG18
CTID94940293,2016-01-03,4310-3710-6743-6385,15060,SEG16
CTID32848737,2016-10-02,3168-6552-9936-1500,7779,SEG23
CTID14242320,2016-02-10,7382-8932-9683-9480,44299,SEG25
CTID95023742,2016-03-09,4427-5380-8182-9668,393,SEG23
CTID20391955,2016-08-23,8590-6850-6104-5846,48026,SEG19
CTID23138756,2016-12-11,9558-5469-2562-5608,16383,SEG21
CTID79647574,2016-04-13,8217-2336-2393-6960,47906,SEG19
CTID64029134,2016-12-15,8031-9022-9952-9605,33128,SEG16
CTID31161734,2016-11-14,7299-3529-7767-1695,27544,SEG20
CTID33422436,2016-01-03,2388-1652-4326-6035,15035,SEG18
CTID97871936,2016-05-05,9546-5205-4705-9447,17053,SEG22
CTID15445212,2016-06-29,8135-1903-7706-2260,25465,SEG25
CTID62866826,2016-02-20,1655-7617-4318-5963,17013,SEG19
CTID30577644,2016-09-02,5574-7647-1844-5316,22488,SEG23
CTID85580432,2016-09-13,8135-1903-7706-2260,18210,SEG13
CTID37713535,2016-03-10,1481-2536-2178-7547,15616,SEG19
CTID63772365,2016-05-09,7382-8932-9683-9480,22222,SEG23
CTID83638350,2016-12-07,8361-7488-5303-1801,10263,SEG13
CTID75060012,2016-01-31,6575-1457-7757-9141,22887,SEG16
CTID39503591,2016-03-11,4375-1627-3683-5900,18651,SEG16
CTID55195222,2016-08-29,5590-1294-8800-2874,16606,SEG20
CTID71476390,2016-12-28,4525-4818-6014-8945,42630,SEG20
CTID54851060,2016-10-22,5144-5591-4640-2208,41040,SEG22
CTID73550595,2016-08-20,5254-4916-6547-4795,27087,SEG25
CTID12896176,2016-10-30,4040-7464-4000-3447,9730,SEG23
CTID95654245,2016-11-11,7199-4140-9327-8875,14645,SEG12
CTID35015827,2016-07-07,3226-1711-7076-2949,31069,SEG19
CTID74281862,2016-10-04,4012-7774-6690-7055,33488,SEG20
CTID70889130,2016-07-01,6994-7925-9044-3458,37914,SEG16
CTID42172610,2016-09-21,9558-5469-2562-5608,25562,SEG20
CTID18464228,2016-06-08,9425-1481-6545-6190,6346,SEG14
CTID90208074,2016-06-16,6012-7799-2842-7221,7775,SEG22
CTID67891996,2016-08-20,9386-8854-6115-4075,27982,SEG18
CTID97799557,2016-09-29,9542-6082-9630-9970,43499,SEG24
CTID78316904,2016-07-15,3594-2190-6052-1265,41906,SEG12
CTID12128397,2016-09-22,3439-5404-2739-7517,8191,SEG18
CTID63217413,2016-07-21,7416-4529-6690-5703,14569,SEG19
CTID48815488,2016-04-25,7306-7457-8875-3211,39268,SEG11
CTID43873393,2016-12-11,5984-2442-3351-3695,13405,SEG25
CTID29831631,2016-06-21,1683-2865-3396-4925,34227,SEG24
CTID35519585,2016-02-29,6171-3568-7740-8072,8449,SEG14
CTID12118211,2016-07-04,8590-6850-6104-5846,3377,SEG19
CTID53419493,2016-05-25,5960-5753-3689-8262,36145,SEG15
CTID35213139,2016-05-09,3380-5311-6073-9478,7309,SEG16
CTID60330542,2016-08-01,5864-4475-3659-1440,1257,SEG14
CTID60605289,2016-06-28,7224-9964-4793-3939,18379,SEG11
CTID25393838,2016-09-19,2854-6117-5924-2770,15874,SEG21
CTID35324758,2016-11-22,8341-5263-4582-7396,21611,SEG18
CTID15048181,2016-03-12,3323-8332-7133-7008,38415,SEG23
CTID67105853,2016-04-11,5695-2379-4433-2485,6864,SEG12
CTID51304698,2016-12-11,5094-8484-5014-6152,15951,SEG14
CTID38049788,2016-04-11,2517-1247-3682-9050,32811,SEG12
CTID74916378,2016-07-16,7299-3529-7767-1695,13295,SEG19
CTID21887334,2016-01-19,2422-2354-4628-4556,23524,SEG14
CTID63002830,2016-08-31,4265-2692-1676-5635,27277,SEG12
CTID44037382,2016-07-05,5936-1967-4966-6077,12457,SEG17
CTID96921958,2016-10-24,1817-8543-9660-4802,19750,SEG22
CTID88513580,2016-02-28,5563-4162-6828-9835,44409,SEG12
CTID62487008,2016-01-18,5936-1967-4966-6077,161,SEG25
CTID85217063,2016-11-15,5010-4875-7956-3628,25646,SEG12
CTID23964422,2016-08-01,2422-2354-4628-4556,34429,SEG13
CTID59360766,2016-06-02,6321-2048-7733-8765,33220,SEG11
CTID13575310,2016-07-06,9132-7052-6630-5540,38883,SEG25
CTID58240810,2016-04-11,6893-1438-6516-3207,3199,SEG12
CTID37992350,2016-08-14,9074-3311-4009-9836,27318,SEG18
CTID92478959,2016-07-20,8477-4051-5606-6540,13220,SEG11
CTID46431169,2016-11-29,3708-8801-1521-8042,39437,SEG22
CTID66100801,2016-01-27,3461-8685-2115-2963,38553,SEG24
CTID99974864,2016-01-02,6479-5593-2105-9060,35419,SEG12
CTID93222725,2016-05-06,1519-5130-5810-8539,17448,SEG18
CTID68029226,2016-12-29,6012-7799-2842-7221,45786,SEG15
CTID57357124,2016-04-30,1683-2865-3396-4925,14133,SEG19
CTID67602515,2016-02-23,5936-1967-4966-6077,45662,SEG25
CTID19685733,2016-05-31,2711-5438-4449-9824,3970,SEG18
CTID51365101,2016-02-18,7837-4036-5999-1672,43976,SEG20
CTID37607428,2016-04-06,4783-2852-8264-4966,661,SEG23
CTID18696471,2016-02-15,4139-7870-9436-2923,29519,SEG25
CTID64514277,2016-02-21,9991-4727-7710-2269,31435,SEG19
CTID32455881,2016-09-30,5747-7372-2770-2325,11721,SEG15
CTID80202603,2016-11-28,9546-5205-4705-9447,18604,SEG19
CTID29627448,2016-08-05,6429-7684-3108-1910,25267,SEG16
CTID42871268,2016-01-14,6492-5655-8241-3530,46550,SEG12
CTID29743609,2016-01-20,3925-8607-7303-7699,23067,SEG17
CTID15119082,2016-12-16,7362-1637-8977-1963,48208,SEG20
CTID20917479,2016-08-19,4562-2665-7578-1931,21010,SEG12
CTID11861015,2016-01-07,3925-8607-7303-7699,23641,SEG19
CTID76847876,2016-03-23,5580-3409-5276-9882,18116,SEG20
CTID35016450,2016-08-16,5587-7265-8118-7718,22767,SEG12
CTID89217794,2016-07-31,7843-4724-2851-6218,34268,SEG14
CTID28744845,2016-04-29,3359-9828-1991-2013,3306,SEG25
CTID26723244,2016-01-08,5447-4124-3337-6163,43251,SEG11
CTID20956649,2016-08-05,2830-1922-3225-5423,47076,SEG18
CTID34290962,2016-05-11,4562-2665-7578-1931,15449,SEG14
CTID59058680,2016-11-28,4954-2506-4917-1734,20379,SEG24
CTID66783339,2016-12-07,4046-1968-8375-3680,13491,SEG11
CTID58605457,2016-10-13,5447-4124-3337-6163,4671,SEG13
CTID59476577,2016-12-22,6429-7684-3108-1910,42868,SEG11
CTID11597694,2016-11-25,1750-2387-4085-7042,47049,SEG21
CTID53309143,2016-07-22,8486-4186-7122-3452,35830,SEG11
CTID60086736,2016-11-28,6514-4444-5642-2615,3428,SEG16
CTID54945480,2016-12-04,9425-1481-6545-6190,5267,SEG18
CTID62936303,2016-03-01,6750-4821-2334-9977,9714,SEG20
CTID89298482,2016-10-18,8135-1903-7706-2260,36218,SEG21
CTID48370912,2016-12-09,5674-3252-5805-3288,31701,SEG15
CTID80894569,2016-04-16,1559-8764-1659-4317,1967,SEG12
CTID26259332,2016-07-13,8870-2780-7399-5151,8982,SEG18
CTID27435005,2016-11-01,5982-5047-2653-9052,35329,SEG15
CTID52180242,2016-08-18,8217-2336-2393-6960,17040,SEG23
CTID68232374,2016-02-18,7164-1323-2737-4112,1406,SEG16
CTID33692593,2016-07-07,5864-4475-3659-1440,17126,SEG19
CTID87568257,2016-12-19,6492-5655-8241-3530,19367,SEG18
CTID30347452,2016-09-21,8135-1903-7706-2260,2333,SEG23
CTID43521018,2016-07-24,2116-6906-9722-9824,24967,SEG16
CTID33916446,2016-02-14,3708-8801-1521-8042,30500,SEG22
CTID53711202,2016-02-19,1893-8853-9900-8478,39002,SEG11
CTID25038848,2016-10-14,9604-6821-2861-8084,21972,SEG20
CTID78218508,2016-06-04,8706-3809-5167-3899,43583,SEG25
CTID88642968,2016-05-06,2570-5181-2062-7588,11159,SEG12
CTID97462945,2016-09-09,8462-5562-6993-2745,14409,SEG18
CTID90493074,2016-04-17,8467-5358-5569-3718,28879,SEG16
CTID61419668,2016-02-20,4784-5120-3581-6184,46760,SEG11
CTID45383118,2016-11-06,7697-2274-6431-6408,32067,SEG18
CTID82980977,2016-02-07,4843-3880-6792-2259,38275,SEG16
CTID21293051,2016-11-28,4138-5166-7490-1188,47273,SEG15
CTID46729857,2016-07-02,1750-2387-4085-7042,13346,SEG12
CTID79951733,2016-04-15,7416-4529-6690-5703,25468,SEG15
CTID90316129,2016-08-22,5447-4124-3337-6163,22271,SEG21
CTID32333577,2016-07-23,8904-2491-3727-6958,23370,SEG21
CTID26225532,2016-01-21,1336-9200-1264-2551,17505,SEG16
CTID71337100,2016-11-29,2724-3903-7331-7820,1891,SEG24
CTID48398713,2016-02-05,9030-1667-6058-6173,31112,SEG22
CTID84215505,2016-01-07,6574-5513-6101-1905,21745,SEG20
CTID44247616,2016-05-31,7729-4037-1361-9467,29777,SEG12
CTID32525502,2016-12-03,8481-9097-2828-9363,9045,SEG24
CTID54953902,2016-08-16,6286-3397-5051-8445,44398,SEG17
CTID83219861,2016-03-16,2595-8621-2855-9119,16058,SEG11
CTID27374352,2016-03-25,6617-5782-1394-1632,13900,SEG21
CTID96813279,2016-10-12,8850-8297-4094-3048,44409,SEG14
CTID79126820,2016-09-19,8685-1513-4751-8018,3550,SEG25
CTID50167079,2016-09-02,3467-3224-2464-5799,6674,SEG16
CTID87584396,2016-08-31,3114-9778-2542-3154,20481,SEG22
CTID75720577,2016-10-27,6514-4444-5642-2615,23491,SEG21
CTID93298326,2016-07-06,1259-5241-3561-1773,7264,SEG21
CTID30070121,2016-07-13,2595-7800-1142-5225,13092,SEG16
CTID17407362,2016-07-06,8217-2336-2393-6960,19432,SEG18
CTID89261873,2016-04-29,9138-8487-6675-4521,3528,SEG23
CTID62135271,2016-10-07,2535-9251-5633-3656,14861,SEG16
CTID65144847,2016-07-18,4349-5976-1214-5524,39202,SEG15
CTID57783941,2016-10-02,7815-7711-6866-1320,271,SEG13
CTID39593890,2016-10-05,3414-4178-9784-9954,2210,SEG17
CTID35416758,2016-11-03,4610-9984-7768-4610,49837,SEG19
CTID77533235,2016-09-04,8376-2481-1705-6329,31248,SEG13
CTID89239859,2016-05-04,6258-3903-6637-5620,44026,SEG20
CTID54535186,2016-05-01,6197-7150-9163-8287,25316,SEG23
CTID83174880,2016-09-21,7583-5046-7750-5578,37794,SEG13
CTID83682171,2016-08-05,6042-2856-7280-2925,42374,SEG22
CTID23196474,2016-03-10,8522-7783-9262-6673,9423,SEG25
CTID13271240,2016-05-28,8558-3872-8287-1977,13969,SEG15
CTID66732655,2016-12-31,5778-9566-9086-7555,34151,SEG25
CTID65666009,2016-06-11,6286-3397-5051-8445,11714,SEG22
CTID58109155,2016-12-29,3544-7836-9589-7635,47741,SEG23
CTID87503297,2016-07-29,7843-4724-2851-6218,27974,SEG16
CTID12126565,2016-07-29,5005-7427-6443-4284,7704,SEG20
CTID19856727,2016-09-10,1608-1970-3705-7137,21214,SEG23
CTID62910091,2016-08-19,4937-6752-6970-3163,7984,SEG22
CTID66011353,2016-11-08,9627-1907-4419-6606,18026,SEG19
CTID75670192,2016-08-29,8066-8437-2479-2481,49147,SEG20
CTID12620283,2016-03-04,3594-2190-6052-1265,46161,SEG23
CTID42220863,2016-02-28,4139-7870-9436-2923,15576,SEG23
CTID83848828,2016-02-08,6620-4005-4574-6263,7920,SEG14
CTID67371866,2016-11-18,7837-4036-5999-1672,42497,SEG15
CTID35700405,2016-11-26,2447-6299-5016-4953,3865,SEG12
CTID48332317,2016-12-01,8522-7783-9262-6673,43066,SEG15
CTID51987508,2016-12-04,1992-1719-3506-9652,44640,SEG17
CTID69162251,2016-05-22,8106-9789-1679-2552,22995,SEG20
CTID65239457,2016-05-22,6258-3903-6637-5620,49694,SEG24
CTID17084166,2016-07-12,4806-6889-9908-7496,15959,SEG22
CTID95857927,2016-12-23,4012-7774-6690-7055,40885,SEG14
CTID71841239,2016-09-17,5564-7149-9280-5472,22553,SEG15
CTID18192078,2016-10-17,8462-5562-6993-2745,13309,SEG12
CTID48505455,2016-11-18,3698-9867-4865-5497,30489,SEG23
CTID12739156,2016-06-21,6258-3903-6637-5620,9600,SEG12
CTID13302542,2016-05-03,9360-2827-9359-7064,41298,SEG23
CTID62949464,2016-02-29,3001-2844-6540-3608,25455,SEG22
CTID89257452,2016-09-29,8706-3809-5167-3899,12358,SEG24
CTID53811225,2016-01-23,8376-2481-1705-6329,5871,SEG21
CTID23484677,2016-02-17,6770-3803-2120-3012,22674,SEG12
CTID64619898,2016-08-19,8287-3054-9804-9342,8480,SEG19
CTID63638889,2016-04-21,2495-1344-4998-6045,18686,SEG16
CTID47034085,2016-01-07,7047-9622-9693-9968,38251,SEG17
CTID14634074,2016-07-18,1661-3809-5334-2155,41747,SEG22
CTID64729127,2016-11-05,9314-8332-5195-8287,34354,SEG14
CTID90028636,2016-12-19,8031-9022-9952-9605,29734,SEG21
CTID23659413,2016-11-11,8321-8463-7644-8934,31958,SEG20
CTID71002062,2016-12-18,5960-5753-3689-8262,43533,SEG22
CTID26609825,2016-09-24,6385-4594-8055-9081,4290,SEG20
CTID45986275,2016-02-08,5129-6974-6371-2964,5905,SEG13
CTID30473436,2016-03-03,9132-7052-6630-5540,8218,SEG14
CTID94635111,2016-03-06,1355-1728-8274-9593,13657,SEG21
CTID12399521,2016-01-08,8135-1903-7706-2260,24986,SEG16
CTID97793290,2016-06-20,5533-2042-7236-9790,5143,SEG14
CTID89762364,2016-12-24,4012-7774-6690-7055,3014,SEG25
CTID93778633,2016-11-06,6319-3749-2944-6015,40382,SEG18
CTID80907785,2016-12-24,8467-5358-5569-3718,47304,SEG12
CTID50925554,2016-05-12,2056-7091-8023-1914,42536,SEG16
CTID50258699,2016-08-01,8031-9022-9952-9605,23359,SEG16
CTID79989618,2016-06-17,2495-1344-4998-6045,40640,SEG20
CTID62754328,2016-11-24,5864-4475-3659-1440,9367,SEG14
CTID64111288,2016-04-13,7677-5937-2671-3687,45685,SEG23
CTID84214001,2016-11-07,4338-7681-3950-6850,15776,SEG21
CTID17297007,2016-03-07,8794-7936-2566-9238,36944,SEG12
CTID85417849,2016-11-13,5592-8244-5701-5100,4238,SEG16
CTID87739627,2016-08-13,7234-6377-8525-5139,32082,SEG14
CTID69278895,2016-02-21,9425-1481-6545-6190,24061,SEG17
CTID44169486,2016-12-24,9946-6939-3033-9593,27111,SEG24
CTID39932054,2016-03-20,5734-5619-8469-4044,38494,SEG12
CTID29099607,2016-03-20,8507-1459-7315-8148,18407,SEG13
CTID81774280,2016-07-25,1652-7516-1273-1992,13976,SEG20
CTID43107511,2016-09-29,7430-6895-6227-4665,10376,SEG13
CTID94531062,2016-11-27,2992-8127-2278-9771,12981,SEG15
CTID59499262,2016-05-24,8638-5407-3631-8196,19345,SEG21
CTID33594868,2016-12-09,3573-2839-9869-7747,31007,SEG24
CTID24485443,2016-11-05,2116-6906-9722-9824,40834,SEG20
CTID25410415,2016-10-30,6893-1438-6516-3207,32725,SEG18
CTID77292226,2016-06-14,7416-4529-6690-5703,2603,SEG25
CTID48352751,2016-08-11,6492-5655-8241-3530,25384,SEG12
CTID66288035,2016-02-28,6575-1457-7757-9141,30114,SEG19
CTID89444954,2016-11-23,8883-9569-6241-3952,8649,SEG11
CTID79373490,2016-12-17,5805-3882-2982-9418,5049,SEG12
CTID68004602,2016-01-08,5556-4557-4566-1540,32630,SEG17
CTID20906558,2016-09-12,6575-1457-7757-9141,28040,SEG24
CTID32919126,2016-03-25,8231-5519-1948-3400,33693,SEG15
CTID22398778,2016-04-09,3969-9181-6385-4422,20580,SEG20
CTID51245769,2016-03-22,9542-6082-9630-9970,39104,SEG16
CTID42542956,2016-01-17,5283-6135-5709-4452,43701,SEG14
CTID96970413,2016-03-19,5145-7864-6575-8768,8227,SEG24
CTID51563918,2016-09-22,7164-1323-2737-4112,26174,SEG11
CTID30347547,2016-10-19,5991-4421-8476-3804,8414,SEG20
CTID55938186,2016-10-01,5206-5979-9383-4538,38568,SEG17
CTID87038370,2016-07-05,4027-9234-2261-8201,24803,SEG22
CTID88781177,2016-03-03,5984-2442-3351-3695,27054,SEG13
CTID14744573,2016-04-08,8673-7935-5776-9119,24573,SEG24
CTID70867489,2016-11-17,5695-2379-4433-2485,27458,SEG23
CTID57397915,2016-10-17,7017-9570-4103-5076,3285,SEG21
CTID15861177,2016-05-14,4246-1369-3659-8804,36020,SEG24
CTID38327457,2016-08-12,8725-3610-8060-2617,20830,SEG18
CTID31048421,2016-07-12,4991-3814-8016-9048,24766,SEG24
CTID22448536,2016-06-30,7276-7349-6334-3809,5562,SEG23
CTID38972686,2016-03-20,8376-2481-1705-6329,35851,SEG15
CTID33211500,2016-05-27,1466-1600-9312-7604,39790,SEG16
CTID80036703,2016-06-08,9627-1907-4419-6606,28657,SEG25
CTID91983912,2016-06-05,3748-8048-5227-8162,18391,SEG13
CTID50996987,2016-03-22,3467-4873-4196-4795,42431,SEG22
CTID60139022,2016-04-18,3708-8801-1521-8042,5518,SEG19
CTID11720691,2016-06-07,9999-3058-2698-4238,37762,SEG14
CTID63089796,2016-05-10,6547-1222-2350-2503,6301,SEG20
CTID41579540,2016-11-22,7795-9930-1867-6279,39821,SEG11
CTID89003607,2016-04-09,2595-8621-2855-9119,17304,SEG22
CTID65114936,2016-03-17,6045-2636-8278-8875,28291,SEG11
CTID46564717,2016-05-12,4338-7681-3950-6850,5550,SEG25
CTID42768355,2016-03-12,1127-9633-2269-3119,16797,SEG16
CTID38481497,2016-09-10,3762-3694-9841-5446,20239,SEG17
CTID30312507,2016-12-13,7224-9964-4793-3939,30292,SEG14
CTID38615187,2016-01-06,9843-6858-7863-1891,8650,SEG17
CTID24173264,2016-11-19,7168-9862-2659-8550,30718,SEG23
CTID83837705,2016-06-30,5689-2440-9593-1931,41058,SEG13
CTID94626318,2016-10-08,8578-3662-1951-5720,42376,SEG13
CTID49542222,2016-11-13,5580-3409-5276-9882,16869,SEG20
CTID66538709,2016-12-13,2535-9251-5633-3656,17023,SEG14
CTID33720168,2016-07-26,3513-5475-4629-7570,25145,SEG16
CTID60508262,2016-11-25,3440-1978-8156-5313,2264,SEG25
CTID53158069,2016-10-02,1616-5911-1676-5466,36734,SEG17
CTID53566231,2016-08-03,1546-9786-8388-4937,49662,SEG11
CTID26404268,2016-03-27,3513-5475-4629-7570,41491,SEG18
CTID42554883,2016-08-29,5088-4839-2639-6414,39079,SEG21
CTID93718635,2016-03-18,2640-5294-8252-8817,11946,SEG24
CTID54988282,2016-05-28,1992-1719-3506-9652,22111,SEG24
CTID87364121,2016-04-14,8673-7935-5776-9119,45598,SEG23
CTID74545428,2016-05-10,6012-7799-2842-7221,17744,SEG21
CTID79921323,2016-11-22,7815-7711-6866-1320,3297,SEG19
CTID93066681,2016-02-23,2046-1892-2379-9050,24304,SEG21
CTID64025355,2016-12-04,2944-6929-3608-9991,6022,SEG19
CTID45087371,2016-09-16,6258-3903-6637-5620,17429,SEG13
CTID56303514,2016-11-21,3573-2839-9869-7747,21462,SEG18
CTID89529445,2016-05-02,1683-2865-3396-4925,2784,SEG11
CTID17992176,2016-01-13,3140-6494-9869-5893,49026,SEG13
CTID76078157,2016-07-22,5349-1963-8417-8327,2078,SEG23
CTID83606565,2016-07-03,5786-9833-8038-2159,38218,SEG13
CTID19247977,2016-07-05,5747-7372-2770-2325,20953,SEG21
CTID68808520,2016-07-15,5811-4353-3490-5513,41134,SEG16
CTID38940957,2016-01-05,6750-4821-2334-9977,21013,SEG20
CTID56859257,2016-04-14,3323-8332-7133-7008,14992,SEG20
CTID28229521,2016-06-29,3697-6001-4909-5350,30091,SEG24
CTID89139120,2016-05-01,5175-8965-9249-9021,17644,SEG14
CTID20663194,2016-11-03,3114-9778-2542-3154,30298,SEG24
CTID72282399,2016-12-06,3196-5064-6247-7113,28964,SEG12
CTID33513848,2016-03-24,3001-2844-6540-3608,224,SEG14
